series id ,series.title,description,site.channel,primary.channel.sub.channel, average monthly total users (June - Sep 17) 
447,Seraph of the End: Vampire Reign,"After a mysterious virus wipes out ninety percent of humanity, vampires emerge, treating mankind like livestock. But 12-year-old Yuichiro Hyakuya successfully escapes the bloodsucking captors, joining an extermination unit dedicated to killing vampires.",Anime~Anime - Action Adventure|Anime~Anime - Fantasy,Anime~Anime - Action Adventure,6749700
448,Iron Man: Armored Adventures,"Teen tech-whiz Tony Stark lived a life of luxury. As the heir to the billion-dollar corporation Stark International, Tony lived a life of luxury.  But everything went horribly wrong when a tragic accident robbed Tony of his father and would have cost him his own life if not for his newest inventionÑan experimental suit of invincible armor. Eager to honor the memory of his father, Tony now uses his awesome armor and technical know-how to protect those who would also fall prey to tragedy, corruption and conspiracy! Suddenly, Tony must learn to shoulder a mountain of responsibility along with his normal teenaged life.  He is a new hero for the digital age, he is Iron Man.",Animation and Cartoons~Saturday Morning Cartoons|Kids,Animation and Cartoons~Saturday Morning Cartoons,2672553
449,The Toy Box,"The Toy Box is the ultimate toy-competition series, providing talented designers with the chance of a lifetime: an opportunity to bring their toy concept to life. Hosted by Eric Stonestreet (Modern Family), the toys _ and their inventors _ are put through a series of trials and tests before facing the ultimate judges _ a panel of no-nonsense, toy-loving kids.",Reality and Game Shows~Competition,Reality and Game Shows~Competition,3666007
450,Saved by the Bell,"A TV show centered on six students and their years at Bayside High School in Palisades, California.",Comedy~Sitcoms|Teen,Comedy~Sitcoms,9319623
451,Survivorman,"No food, no water, no shelter. Survivorman Les Stroud must rely on his years of training, raw instincts and sheer will to survive alone for seven days in the world's harshest environments with little more than a multitool.",Reality and Game Shows~Real Life Drama|Documentaries,Reality and Game Shows~Real Life Drama,5815584
452,Sword Art Online,"In the near future, a Virtual Reality Massive Multiplayer Online Role-Playing Game (VRMMORPG) called Sword Art Online has been released where players control their avatars with their bodies using a piece of technology called: Nerve Gear. One day, players discover they cannot log out, as the game creator is holding them captive unless they reach the 100th floor of the game's tower and defeat the final boss. However, if they die in the game, they die in real life. Their struggle for survival starts now...",Anime~Anime - Science Fiction|Anime~Anime - Action Adventure|International~Japanese|Videogames,Anime~Anime - Science Fiction,9260673
453,Shots Fired,A racially charged shooting in a small town causes social unrest and draws media attention.,Drama~Crime and Courtroom Drama|Drama~Police Drama,Drama~Crime and Courtroom Drama,5878659
454,Hangin' With Mr. Cooper,"Life couldn't be better for Mark Cooper (Mark Curry). He's charming, funny, playful and athletic--a really great guy ... And he'll be the first to tell you so! Just out of school and on his own for the first time, Mark shares a house with two beautiful women. The former college basketball superstar and ultimate prankster also happens to be the coolest substitute teacher around in Hangin' With Mr. Cooper.",Comedy~Sitcoms|Family|Sports,Comedy~Sitcoms,5577994
455,Planet Sheen,"He's always been a little Ôout there.' Now Jimmy Neutron's buddy, Sheen, gets his own show! When he crash-lands on the planet Zeenu, Sheen makes it his mission to teach this planet the superior ways of Earth, while trying to fix his rocket ship.",Animation and Cartoons|Kids|Comedy,Animation and Cartoons,6707824
456,Making History,A computer science professor must set things right when his recreational time travel alters history.,Science Fiction~Science Fiction - Time Travel|Comedy,Science Fiction~Science Fiction - Time Travel,9317352
457,Masterchef Celebrity Showdown,"Stars and past ""MasterChef"" contestants take part in culinary showdowns to win money for charity.",Food|Reality and Game Shows~Competition|Family,Food,7882027
458,Bridezillas,Bridezillas is the WE tv hit original series that exposes the stresses and temporary insanity among brides-to-be as they plan their weddings.,Reality and Game Shows~Guilty Pleasure,Reality and Game Shows~Guilty Pleasure,2704770
459,Live Free or Die,Follow people who left the modern world to live where they survive on what they can produce with their own two hands.,Drama|Reality and Game Shows,Drama,754114
460,Curb Your Enthusiasm,Larry David stars as himself in this comedy series that follows him as he lands himself in various predicaments.,Comedy~Sitcoms,Comedy~Sitcoms,3079722
461,Bunnytown,"This busy world is populated by laughter-loving, gleefully bouncy, puppet bunnies. They think their neighbors in Peopletown are enormously entertaining, and the bunnies tunnel their way up to the human world to observe the extremely silly things they do. Through song, dance, games, and madcap hilarity, the bunnies keep preschoolers learning and laughing aloud.",Kids,Kids,1983511
462,Perfect Strangers,"Emmy Award nominee Bronson Pinchot and Mark Linn-Baker star in this hilarious comedy series that showcases the fact that family is often stranger than, well, strangers! When Balki, who hails from the distant country of Mypos, arrives unexpectedly at his cousin Larry's Chicago apartment, cultures clash É with perfect comedic timing.",Comedy~Sitcoms|Family,Comedy~Sitcoms,6053697
463,Dual Survival,"Two survivalists _ one a military-trained expert, the other a self-trained naturalist _ take on some of the planet's most unforgiving terrain to demonstrate _ in their own way _ how the right skills and some creative thinking can keep you alive.",Reality and Game Shows~Competition,Reality and Game Shows~Competition,6998021
464,Project Runway All Stars,13 of Project Runway's most talented and controversial designers return for a second chance at victory. New host supermodel Angela Lindvall reveals an All Stars twist to what all designers love to hate--the unconventional challenge! ,Reality and Game Shows~Competition,Reality and Game Shows~Competition,6322619
465,Beyond,"Holden, a young man who wakes up from a coma after 12 years, discovers new abilities that propel him into the middle of a dangerous conspiracy. Now Holden must try and figure out what happened to him during those 12 years, how to survive a world that changed while he was gone, and answer the question, why did this happen to him?",Drama|Science Fiction~Science Fiction - Thriller|Action and Adventure|Family,Drama,6477506
466,Pure,"Pure takes us deep inside a closed, secretive subculture through the eyes of a conflicted, good-hearted man trying to protect his family and preserve his faith.  Based on true events, Pure is the journey of Noah Funk-newly elected Mennonite pastor-who is determined to rid his community of the scourge of drugs and its nefarious ties to a trans-border smuggling alliance with ruthless Mexican cocaine cartels.  But just when he thinks he's won, heÕs thrust headlong into a desperate world of violence, greed, and betrayal. Pure is commissioned by the CBC and produced by Two East Productions and Cineflix.",Drama,Drama,8837105
467,Disappeared,Disappeared is a gripping series that focuses on missing person cases.  Each story traces the time immediately before the individual vanished for clues about the disappearance. Often hidden beneath seemingly everyday behavior and actions are hints about what may have driven someone to voluntarily vanish or evidence of foul play.,Documentaries,Documentaries,9115923
